"id","表示フラグ","タイムスタンプ","避難所名","区","電話番号","郵便番号","住所","URL","収容人数（およそ）","現在の人数（およそ）","備考","足りていない必要物資（1）","足りていない必要物資（2）","足りていない必要物資（3）","配給・給水","入力者氏名","緯度","経度","LocName","fX","fY","iConf","iLvl"
14,,4/18/2016 22:54:02,西原中学校,東区,,,熊本市保田窪4丁目9番1号,http://www.kumamoto-kmm.ed.jp/school/j/nisibarujh/newpage1.htm,,,水道が復旧しておらず、配水もありません。眠れない人、持病の人もおり、健康チェックしてほしい。トイレの衛生めんが心配、お風呂も入れません。,水,食料,電池,,,,,"熊本県/熊本市/東区/保田窪/四丁目/９番","130.75613","32.80998","5","7"
16,,4/18/2016 22:36:13,熊本学園大学,中央区,,,熊本市中央区大江2丁目5番1号,http://www.kumagaku.ac.jp/,,,車いすの避難者を受け入れています。問い合わせは096-364-5161,,,,,,,,"熊本県/熊本市/中央区/大江/二丁目/５番","130.72949","32.80447","5","7"
17,,4/18/2016 22:30:12,文徳高校の体育館,西区,,,熊本県熊本市西区池田4丁目22?2,,,,トイレも冷水機も使え、飲み水も食料もたくさん。ただ車は駐車禁止。来られる方は徒歩か自転車で,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/西区/池田/四丁目/２２番","130.69972","32.83304","5","7"
18,,4/18/2016 21:52:27,横林団地集会所,南区,,,熊本市南区日吉1丁目4-45,,,30人程,宮本 09053857415,水,食べ物,,,,,,"熊本県/熊本市/南区/日吉/一丁目/４番","130.68556","32.76133","5","7"
19,,4/18/2016 21:27:35,熊本信愛女学院　,中央区,０９６-３５４-５３５５,,熊本市中央区上林町３－１８　,,,,熊本信愛は避難所として開放しています。物資も届ているので、食料には困りません。スペースもまだたくさんあります。多くの職員が総動員して働いています。信愛生は掃除が得意なので校舎はきれいです。耐震工事もしてあります。夜だけでもゆっくり横になりたい方はぜひどう,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/上林町/３番","130.71118","32.80814","5","7"
20,,4/18/2016 21:16:08,杉上小学校,南区,,,熊本市南区城南町永５０５－１,http://www.kumamoto-kmm.ed.jp/school/e/sugikamies/,,,,,,,配給有り,,,,"熊本県/熊本市/南区/城南町永/５０５番地","130.72681","32.72481","5","7"
21,,4/18/2016 19:19:20,熊本市立画図小学校,東区,,,熊本市東区下江津８丁目１番６号,http://www.kumamoto-kmm.ed.jp/school/e/ezues/index.htm,700,300,,,,,,,,,"熊本県/熊本市/東区/下江津/八丁目/１番","130.73883","32.76749","5","7"
22,,4/18/2016 18:27:32,熊本市立託麻原小学校,中央区,,,熊本市中央区渡鹿２丁目３番１号,http://www.kumamoto-kmm.ed.jp/school/e/takumabarues/index.htm,5?600,200,,日持ちのする食料,水,トイレットペーパー,,,,,"熊本県/熊本市/中央区/渡鹿/二丁目/３番","130.73517","32.80381","5","7"
23,0,4/18/2016 18:12:04,熊本市立託麻原小学校,中央区,,,熊本市中央区渡鹿２丁目３番１号,,,,,食料,水,トイレットペーパー,,,,,"熊本県/熊本市/中央区/渡鹿/二丁目/３番","130.73517","32.80381","5","7"
24,,4/18/2016 16:46:29,白坪小学校,西区,,,熊本市西区蓮台寺４丁目４番1号,http://www.kumamoto-kmm.ed.jp/school/e/shiratuboes/index.htm,,,,,,,,,,,"熊本県/熊本市/西区/蓮台寺/四丁目/４番","130.68404","32.77742","5","7"
25,,4/18/2016 16:46:29,蓮台寺公園,西区,,,熊本市西区蓮台寺町字宝財田540-1,https://www.city.kumamoto.jp/hpkiji/pub/List.aspx?c_id=5&class_set_id=5&class_id=1061,,,,,,,,,,,"熊本県/熊本市/西区/蓮台寺","130.68993","32.77592","5","5"
26,,4/18/2016 16:06:40,幸田総合出張所,南区,,861-4108,熊本県熊本市幸田２?４?１,,,400,,水,食料,防寒具・雨具,,,,,"熊本県/熊本市/南区/幸田/二丁目","130.71198","32.76609","5","6"
27,,4/18/2016 15:54:47,特別養護老人ホームたくまの里,東区,,,熊本市東区御領1丁目13-26,,50,30,,水,食糧,毛布,,,,,"熊本県/熊本市/東区/御領/一丁目/１３番","130.76122","32.82119","5","7"
28,,4/18/2016 15:41:52,田迎西小学校,南区,,,熊本県熊本市南区馬渡2丁目5番1号,http://www.kumamoto-kmm.ed.jp/school/e/tamukaenishies/,,,物資が足りない?益城や南あそみたいに、こっちにも来てほしい?かなりの人の多さで、物資が足りない?学校始まると、避難出来ない?余震続いてるのに！08085883459,オムツ、ミルク、離乳食、子供、大人、子供服、服、カップ麺、毛布、あったかい食べ物、いろうグッズ、遺漏しているお子さんがいます?,お米、トイレットペーパー、ティッシュ、,簡易トイレ、大人服、お風呂、懐中電灯、ヘルメットなど,配給有り,,,,"熊本県/熊本市/南区/馬渡/二丁目/５番","130.70564","32.77397","5","7"
29,,4/18/2016 11:52:58,南熊本老人憩の家,中央区,,,熊本市中央区南熊本3-8-31,,不明,約50,,水,食料,いろいろ,,,,,"熊本県/熊本市/中央区/南熊本/三丁目/８番","130.71217","32.78714","5","7"
30,,4/18/2016 11:12:06,熊本市南区良町フレッシュタウン太陽良町,南区,,,熊本市南区 良町４丁目,,,,助けてください！,緊急＊食料限界,,,,,,,"熊本県/熊本市/南区/良町/四丁目","130.72597","32.75893","5","6"
31,,4/18/2016 10:56:28,熊本大薬学部,中央区,,,熊本市中央区大江本町5-1,,350,,,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/大江本町/５番","130.72142","32.79469","5","7"
32,,4/18/2016 10:24:21,化血研　厚生会館,北区,,860-8568,熊本市北区大窪一丁目6番1号,,200,100,比較的きれいです。毛布等は持参してください。化血研所員の方がボランティアで炊き出しなどもしてくれています,飲用水,,,配給有り,,,,"熊本県/熊本市/北区/大窪/一丁目/６番","130.71269","32.84565","5","7"
33,,4/18/2016 10:11:07,熊本市立松尾東小学校,西区,,,熊本市西区上松尾町2880番地,,,,ご近所の方々が避難されてますので、お知らせします。どのくらいの人数かはわかりません。,,,,,,,,"熊本県/熊本市/西区/上熊本","130.70192","32.81376","4","5"
34,,4/18/2016 9:53:01,熊本市立城山小学校,西区,,,熊本市西区城山大塘1丁目23番1号,,,,℡096-329-4866、（体育館・直通→）℡096-329ー0150（緊急時以外は対応できないのでかけないでください との事。）ボランティアや看護師も不足してるそうです。（4/17現在）,マスク,除菌・消毒用アルコール,救急キット（湿布、絆創膏、ガーゼ等）,,,,,"熊本県/熊本市/西区/城山大塘/一丁目/２３番","130.65755","32.77822","5","7"
35,,4/18/2016 9:52:04,田迎南小学校,南区,,,熊本市南区田井島3-12-1,,500,300,指定避難所ではないのですが、地震発生から夜は500人以上の方が避難所として利用しています。(駐車場で車生活の方含む)救援物資は届いてません。確認できたのは一度おにぎりの配布があった、くらいです。,食べ物,飲み物,,給水有り,,,,"熊本県/熊本市/南区/田井島/三丁目/１２番","130.72441","32.76312","5","7"
36,,4/18/2016 9:51:22,国際交流会館,中央区,,,熊本市中央区花畑町4-18,,150?,30,外国語対応してます。水も出て施設も綺麗なので、かなり快適です。,,,,配給有り,,,,"熊本県/熊本市/中央区/花畑町/４番","130.70529","32.80190","5","7"
37,,4/18/2016 9:49:53,フレッシュタウン太陽,南区,,,熊本市南区良町4丁目フレッシュタウン太陽,,それぞれの家にいます100区画,100人くらい,皆家が大丈夫そうなので、タウン内の空き地に車をとめ避難しています,配給、給水なにもきてなくてありません食料,飲料水,,,尾方 あや 090-4776-7427,,,"熊本県/熊本市/南区/良町/四丁目","130.72597","32.75893","5","6"
38,,4/18/2016 9:41:30,熊本市立砂取小学校,中央区,,８６２－０９５４,熊本市中央区神水１丁目１番１号,http://www.kumamoto-kmm.ed.jp/school/e/sunatories/top/top.htm,800人,800人,,配給,毛布,ウェットティッシュ,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/神水/一丁目/１番","130.74013","32.78614","5","7"
39,,4/18/2016 8:56:10,ルーテル学院 中学・高等学校,中央区,,,熊本市中央区黒髪3丁目12-16,,,,℡096-343-3246,,,,,,,,"熊本県/熊本市/中央区/黒髪/三丁目/１２番","130.72285","32.82017","5","7"
40,,4/18/2016 8:33:31,若葉団地集会所,東区,,,熊本市東区若葉2丁目11,,50,50,列に並べない高齢者が多く、体力を消耗して、近くの避難所から戻ってくる人も。,食料,,,給水有り,,,,"熊本県/熊本市/東区/若葉/二丁目/１１番","130.76303","32.77647","5","7"
41,,4/18/2016 8:17:43,熊本市立若葉小学校,東区,,861-2103,熊本市東区若葉４丁目２３－１,http://www.kumamoto-kmm.ed.jp/school/e/wakabaes/index.htm,たくさん,たくさん、,,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/東区/若葉/四丁目/２３番","130.76350","32.77235","5","7"
42,,4/18/2016 7:57:31,黒髪小学校,中央区,,860-0862,熊本市中央区黒髪２丁目２番１号,http://www.kumamoto-kmm.ed.jp/school/e/kurokamies/top/index1.htm,,,,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/黒髪/二丁目/２番","130.71989","32.81477","5","7"
43,,4/18/2016 7:28:50,壺川小学校,中央区,,860-0076,熊本市中央区壺川１丁目４番５号,http://www.kumamoto-kmm.ed.jp/school/e/kosenes/index.htm,,,,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/壺川/一丁目/４番","130.71010","32.81321","5","7"
44,,4/18/2016 6:37:59,熊本市立清水中学校,北区,,861-8075　,熊本市北区清水新地2丁目3番1号,,,,（学校の電話）096-345-2753 炊き出しや物資のボランティアあり。物資や食材は少なめ との事。,,,,配給有り,,,,"熊本県/熊本市/北区/清水新地/二丁目/３番","130.73395","32.84935","5","7"
45,,4/18/2016 6:31:47,熊本市  海洋センター  スポーツセンター  ,南区,,8614214,熊本県熊本市南区城南町舞原134-1,http://www.bgf.or.jp/center/0227.html,500人以上,100名前後,v.rock6929218@gmail.com,ミルクやオムツ,非常食,水,,,,,"熊本県/熊本市/南区/城南町舞原/１３４番地","130.74875","32.70828","5","7"
46,,4/18/2016 6:02:15,熊本競輪選手宿舎横の駐車場,中央区,,862-0950,熊本県熊本市中央区水前寺４丁目３３?４２,,？,車20?30台,,飲用水、食料、衛生用品、トイレ,ゴミ袋、軍手（片付けに必要なもの）,地震発生直後からみなさん車で寝ています。近くの避難所はいっぱいで入れず、各自情報収集をしてその場をやり過ごしていますが、備蓄もわずかです。避難所へ物資の問い合わせを何度もしていますがほとんど配給など足りない様子。,,,,,"熊本県/熊本市/中央区/水前寺/四丁目/３３番","130.74112","32.79849","5","7"
47,,4/18/2016 5:55:18,黒髪小学校,中央区,,860-0862,熊本市中央区黒髪２丁目２番１号,,,,,,,,,,,,"熊本県/熊本市/中央区/黒髪/二丁目/２番","130.71989","32.81477","5","7"
48,,4/18/2016 5:28:38,熊本市立西山中学校,中央区,,860-0073 ,熊本市中央区島崎1丁目27番1号,,,,(学校の電話)096-354-0091,,,,配給有り,,,,"熊本県/熊本市/中央区/島崎/一丁目/２７番","130.69283","32.80305","5","7"
49,,4/18/2016 5:26:38,山ノ内小学校,東区,,862-0914,熊本市東区山ノ内4丁目1番1号,http://www.kumamoto-kmm.ed.jp/school/e/yamanouchies/,300人？,不明,配給時、1人半分だとパンを目の前で包丁で切る、夜はクッキー4枚のみ、断水しているので手を洗っていないと思われます。極めて不衛生！取りに来た本人にしか渡さず、取りに来れない体の不自由な人には配りに行く優しさの想像力もない。テレビには熊本市の下水道車や自衛隊の支援が映りますがこっちには一度も来ません。避難所の差別がすすんでますね。ペット連れが大勢いるのに雨が降っても避難所の中には入れない。阪神や東日本大震災で何度も目にした問題が熊本でも繰り返され悲しいです。,飲み水(500ccのペットボトル1本で24時間は過ごせない),食料,,給水有り,,,,"熊本県/熊本市/東区/山ノ内/四丁目/１番","130.77086","32.79760","5","7"
50,,4/18/2016 5:26:29,熊本市南区清藤,南区,,,熊本市南区清藤,,300,300以上,学校の近くに新しい住宅地が多数あり、運動場には車で寝泊まりの避難者多数。体育館も避難者多数。。,水,食料品,オムツ等の日用消耗品,,,,,"熊本県/熊本市/南区","130.66904","32.75699","5","4"
51,,4/18/2016 4:51:46,湖東中学校,東区,,862-0909,熊本市東区湖東1丁目１３－１,http://www.kumamoto-kmm.ed.jp/school/j/kotojh/index.htm,,2000,,毛布,衛生用品,,"配給有り, 給水有り",,,,"熊本県/熊本市/東区/湖東/一丁目/１３番","130.74783","32.78077","5","7"
52,,4/18/2016 3:39:47,東区山ノ内小学校,東区,,862-0914,熊本市東区山ノ内4丁目1番1号,http://www.kumamoto-kmm.ed.jp/school/e/yamanouchies/,,,,食料,生理用品,離乳食,,,,,"熊本県/熊本市/東区/山ノ内/四丁目/１番","130.77086","32.79760","5","7"
53,,4/18/2016 2:48:03,桜木東小学校,東区,,861-2101,熊本市東区桜木６丁目10-1,http://www.kumamoto-kmm.ed.jp/school/e/sakuragihigashi/,,,,,,,,,,,"熊本県/熊本市/東区/桜木/六丁目/１０番","130.78189","32.78801","5","7"
54,,4/18/2016 1:20:43,熊本県立東陵高等学校,東区,,862-0933,熊本県熊本市東区小峯４丁目５-１０,http://sh.higo.ed.jp/touryo/,,,避難場所に指定されておらず、明日の朝でないと届かないそうで、知られてないから、足りないそうです。食料もお願いします。,水,,,,,,,"熊本県/熊本市/東区/小峯/四丁目/５番","130.77779","32.80046","5","7"
55,,4/18/2016 1:14:53,北区新地団地第一集会所,北区,,861-8075,熊本県熊本市北区清水新地5丁目9?2,,,,指定避難場所ではない為、支援物資が届きません。（新地団地集会所で投稿があったけど第一集会所と第2集会所があるので念のため両方マッピングしました）,食料,水,,,,,,"熊本県/熊本市/北区/清水新地/五丁目/９番","130.73894","32.85233","5","7"
56,,4/18/2016 1:14:53,新地団地第二集会所,,,861-8075,熊本県熊本市北区清水新地7丁目2?12,,,,指定避難場所ではない為、支援物資が届きません。（新地団地集会所で投稿があったけど第一集会所と第2集会所があるので念のため両方マッピングしました）,,,,,,,,"熊本県/熊本市/北区/清水新地/七丁目/２番","130.74611","32.85447","5","7"
57,,4/18/2016 0:54:01,シュロアモール長嶺駐車場,東区,,,熊本県熊本市東区長嶺西１?５?１　,,,300,避難場所満員の為、指定避難場所意外ですが駐車場で避難しています。救援が一度も来ていないので支援物資何もなく困っています。どうか助けてください。,支援物資一切なし,飲料水,食料,,,,,"熊本県/熊本市/東区/長嶺西/一丁目","130.76297","32.81223","5","6"
58,,4/18/2016 0:13:02,清水小学校,北区,,861-8074,熊本市北区清水本町１４－５８,http://www.kumamoto-kmm.ed.jp/school/e/shimizues/index.htm,,,,,,,配給有り,,,,"熊本県/熊本市/北区/清水本町/１４番","130.72385","32.83302","5","7"
59,,4/17/2016 21:24:02,龍田小学校,北区,,861-8006 ,熊本県熊本市北区龍田7丁目7?1,,わかりません,不明,,食べ物,お水,,配給有り,,,,"熊本県/熊本市/北区/龍田/七丁目/７番","130.76096","32.83811","5","7"
60,,4/17/2016 21:08:00,龍田西小学校,北区,,861-8005,熊本県熊本市北区龍田陳内２丁目,,,,,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/北区/龍田陳内/二丁目","130.74403","32.83041","5","6"
61,,4/17/2016 21:06:55,龍田西小学校,北区,,861-8005,熊本県熊本市北区龍田陳内２丁目,,,,,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/北区/龍田陳内/二丁目","130.74403","32.83041","5","6"
62,,4/17/2016 20:05:34,熊本県立北高等学校,北区,,,熊本県熊本市北区兎谷三丁目5番1号,,,300,近隣の指定避難所はもう満杯で避難中。しかし指定ではないため、公共の避難物資が一切届きません。年配者多く移動困難。助けてください。,食料,飲料水,,,,,,"熊本県/熊本市/北区/兎谷/三丁目/５番","130.74649","32.84117","5","7"
63,,4/17/2016 19:41:48,熊本市立白山小学校,中央区,,,熊本市中央区菅原町９?１,,不明,（朝・夜）1000人　（昼）600人ほど,避難者数が、朝・夜は昼間に対し倍近くになる。たまに不定期で配給があるが、一桁台のペットボトルが配給されるなど、口に出来る人を数えた方が早い状況。圧倒的に食料・水が不足している。昼間の避難者は主にお年寄りが多く、朝夜は各世代が満遍なく避難している。昼間のみの様子で配給量を決定するのは避けていただきたい。（避難者の家族が県外より代理で記入）,食料,水,衛生用品,,,,,"熊本県/熊本市/中央区/菅原町/９番","130.72008","32.78949","5","7"
64,,4/17/2016 19:38:00,立正佼成会熊本教会,中央区,,,熊本市中央区島崎1-18-7,,200,170,物資の余裕あり。当避難所の方以外でも現地での物資受け渡し可。他の避難所向けにも応援できます。電話：096-325-3511,余裕あり,,,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/島崎/一丁目/１８番","130.69321","32.80507","5","7"
65,,4/17/2016 19:24:32,立正佼成会熊本教会,中央区,,,熊本市中央区島崎1-18-7,,200名,170名,収容人数以上に物資の余裕あり。現地での受け取りや他の避難所への応援ができます。電話：096-325-3511,,,,"配給有り, 給水有り",,,,"熊本県/熊本市/中央区/島崎/一丁目/１８番","130.69321","32.80507","5","7"
66,,4/17/2016 17:07:32,熊本市立西原小学校,東区,,８６１－８０２８,熊本市東区新南部３丁目４番６０号,http://www.kumamoto-kmm.ed.jp/school/e/nishibaru/index.html,,,,水,,,,,,,"熊本県/熊本市/東区/新南部/三丁目/４番","130.74857","32.81250","5","7"
67,,4/17/2016 17:07:08,熊本北高校,北区,,,熊本市北区兎谷3丁目5-1,,,約300人,救援物資が何も来ていないそうです！！すぐに行ってあげてください！！,何も無いそうです！！,,,,,,,"熊本県/熊本市/北区/兎谷/三丁目/５番","130.74649","32.84117","5","7"
68,,4/17/2016 14:41:07,健軍東小学校,東区,,,熊本県熊本市東区東町4丁目15?2,,？,？,伝聞ですので、是非正しい情報収集をお願いします,今の所なんの支援物資も無いと聞いてます,,,,,,,"熊本県/熊本市/東区/東町/四丁目/１５番","130.76485","32.78231","5","7"
69,,4/17/2016 14:04:04,田迎神社  ,南区,,,熊本県熊本市南区田迎２丁目７ ,,不明,不明,不明,水,食料,物資まったく届いていません,,,,,"熊本県/熊本市/南区/田迎/二丁目/７番","130.71036","32.77536","5","7"
70,,4/17/2016 14:02:19,熊本県立商業高校 体育館,中央区,,862-0954 ,熊本県熊本市中央区神水１丁目１－２,http://sakura1.higo.ed.jp/sh/kmt-chs/,,400,こどもが70人ほど。車中避難者もあり,飲み水 ,食料,,,,,,"熊本県/熊本市/中央区/神水/一丁目/１番","130.74013","32.78614","5","7"
71,,4/17/2016 13:57:53,平成中央公園　,,,,熊本市南区馬渡1丁目8,,不明,不明,ツイッターより　https://twitter.com/SRISYRK/status/721503391109685248,食料（年配者多いようです）,水,,,,,,"熊本県/熊本市/南区/馬渡/一丁目/８番","130.70534","32.77666","5","7"
72,,4/17/2016 13:47:31,富合小学校,南区,,８６１－４１５１,熊本県熊本市南区富合町清藤４７２番地,http://www.kumamoto-kmm.ed.jp/school/e/tomiaies/index.htm,,,,飲料水、,食料品,,,,,,"熊本県/熊本市/南区/富合町清藤/４７２番地","130.68063","32.71378","5","7"
73,,4/17/2016 13:23:49, 熊本市南区出仲間８丁目,南区,,862-0963,熊本市南区出仲間８丁目３番３０号,,650,500,子連れの方、ご年配の方が多く、避難人数も日に日に増えている状態です。支援物資も熊本市の方のおかげで届いてはいますが、人数分には全然満たない状態です。日中は、車で避難場所から出てる方も多いようですが、夜になるとみなさん車を停めて車内で寝られる方も多いようです。sn1_xo@ezweb.ne.jp,水,食料,オムツ,配給有り,,,,"熊本県/熊本市/南区/出仲間/八丁目/３番","130.71953","32.76830","5","7"
74,,4/17/2016 12:40:23,千原台高校,西区,,,熊本市西区島崎2丁目37番1号,,1000,1000,近隣のコンビニ、ドラッグストアが閉店して、何も購入できません。1日1食できるかどうかの状況です。離乳食の乳児がたくさんいますが、何も与えることができません。,水,食糧全般,乳児用離乳食,,,,,"熊本県/熊本市/西区/島崎/二丁目/３７番","130.68669","32.80669","5","7"
75,,4/17/2016 12:02:53,熊本市清水総合出張所,北区,,,熊本市北区清水亀井町１４?７,,不明,不明,買い出しに行くことのできない高齢者が食料を入手できない状況。,食料,,,,,,,"熊本県/熊本市/北区/清水亀井町/１４番","130.72186","32.84125","5","7"
76,,4/17/2016 11:32:39,熊本市立城南小学校,南区,,861-4106　,熊本県熊本市南区南高江４丁目２番７０号,http://www.kumamoto-kmm.ed.jp/school/e/jyounanes/index.htm,,,,,,,,,,,"熊本県/熊本市/南区/南高江/四丁目/２番","130.69118","32.75170","5","7"
77,,4/17/2016 10:50:57,川上小学校,北区,,,熊本市北区西梶尾町480,,300,200,,食料,寝具(マット、毛布、タオル),衛生品(紙、生理用品、歯ブラシ),,,,,"熊本県/熊本市/北区/西梶尾町/４８０番地","130.70506","32.87038","5","7"
78,,4/17/2016 9:49:22,田迎神社,南区,,,熊本県熊本市南区田迎２丁目７ ,,30,100,お年寄り、子供が沢山います、たすけて,食料,水,トイレ,,,,,"熊本県/熊本市/南区/田迎/二丁目/７番","130.71036","32.77536","5","7"
79,,4/17/2016 9:41:38,平成中央公園,,,,熊本県熊本市南区馬渡1丁目8,,300,300,南区には何も届いていない、たすけて,水,食料,トイレ,,,,,"熊本県/熊本市/南区/馬渡/一丁目/８番","130.70534","32.77666","5","7"
80,,4/17/2016 8:01:23,熊本市中央区大江本町5-1,中央区,,,熊本市中央区大江本町5-1,,,300,トイレあり、水道可、,食料,,,,,,,"熊本県/熊本市/中央区/大江本町/５番","130.72142","32.79469","5","7"
81,,4/17/2016 6:27:22,アクアドーム,南区,,,熊本市南区荒尾町2丁目1番1号,,400,1000以上,,食料,飲料,簡易トイレ,,,,,"熊本県/熊本市/南区/荒尾町","130.66904","32.75699","5","5"
82,,4/17/2016 5:08:45,画図コミュニティセンター,東区,,,熊本市東区下江津８丁目１番１０号,,,,ここを使用できるのが今日までかもしれない。4月17日緊急連絡先08017489016,水,食糧,薬,,,,,"熊本県/熊本市/東区/下江津/八丁目/１番","130.73883","32.76749","5","7"
83,,4/17/2016 4:26:55,御幸小学校体育館,南区,,,熊本県熊本市南区御幸笛田七丁目16番1号,,不明,500人ほどと書いていました。,熊本市役所職員御中。 熊本県の御幸小学校体育館に地震のため避難していると書いていたTwitterアカウント@zo5V8tPS5bXXf7Eさん（自称高校2年生の女の子） が食料と飲料が無く困っていることをTwitterに書いていましたので、こちらに報告いたします。（私は東京都で暮らすTwitterアカウント@mako_1972という者です。）熊本市役所で確認の上、必要な支援をお願いいたします。,食料,飲料,,,,,,"熊本県/熊本市/南区/御幸笛田/七丁目/１６番","130.71588","32.75399","5","7"
84,,4/17/2016 3:03:44,熊本県立第二高校,東区,,862－0901,熊本市東区東町3－13－1,http://sakura1.higo.ed.jp/sh/dainish/,,,,食料,水,,,,,,"熊本県/熊本市/東区/東町/三丁目/１３番","130.76714","32.78254","5","7"
85,,4/17/2016 2:27:51,桜木小学校,東区,,,熊本市東区花立2丁目23-1,,不明,,ポータブルトイレはあるが水食料が届かない。,水,食料,,,,,,"熊本県/熊本市/東区/花立/二丁目/２３番","130.77731","32.78163","5","7"
86,,4/17/2016 2:11:08,桜木小学校,東区,,,熊本市東区花立2丁目23-1,,不明,不明,ポータブルトイレはあるが食料が届かない。,水,食料,,,,,,"熊本県/熊本市/東区/花立/二丁目/２３番","130.77731","32.78163","5","7"
87,,4/17/2016 0:21:25,錦ヶ丘公園,東区,,,熊本市東区錦ヶ丘8番1号,,,200,,水,食料,,,,,,"熊本県/熊本市/東区/錦ケ丘/８番","130.75398","32.79161","5","7"
88,,4/16/2016 23:37:02,桜ヶ丘病院,西区,,,熊本市西区池田3丁目44-1,,130,100,,食料 ,水,,,,,,"熊本県/熊本市/西区/池田/三丁目/４４番","130.70103","32.83117","5","7"
89,,4/16/2016 22:22:38,熊本市立田迎西小学校,南区,,,熊本市南区馬渡2-5-1,,不明,9割程度,不定期で食料配給・水道が出る様子,食料,飲料水,毛布.衛生用品,,,,,"熊本県/熊本市/南区/馬渡/二丁目/５番","130.70564","32.77397","5","7"
90,,4/16/2016 22:13:42,熊本市立京陵中学校,中央区,,,熊本県熊本市中央区京町本町1-14,,3000,2000,,水,食材,簡易トイレ,,,,,"熊本県/熊本市/中央区/京町本丁","130.70482","32.81661","5","5"
91,,4/16/2016 21:26:54,熊本市北区植木町,北区,,,熊本市北区植木町,,,,,,,,,,,,"熊本県/熊本市/北区/植木町一木","130.68828","32.90782","4","5"
92,,4/16/2016 21:23:33,菊陽町立武蔵ヶ丘北小学校,,,,熊本県菊池郡菊陽町大字津久礼4061,,,,不定期でおにぎりの配給有り、水有り、トイレ有り、校庭グラウンドに駐車か体育館に避難可能,,,,,,,,"熊本県/菊池郡/菊陽町/津久礼","130.78943","32.85685","5","5"
